caogad,’s,a,51
a’,cheann,thall,51
a-mach,às,a’,51
an,là,an-diugh,51
dòcha,gum,bi,50
air,an,eilean,50
ann,air,a,50
mi,a’,leughadh,50
am,meadhan,an,50
ann,an,dà,50
a’,tighinn,bho,50
ag,ràdh,gur,50
mhuinntir,an,àite,50
anns,a’,mhonadh,50
cheann,a,tuath,49
mar,a,chaidh,49
sin,anns,an,49
a,chì,sinn,49
bliadhna,às,dèidh,49
eile,ann,an,48
cuid,dhen,bheachd,48
air,feadh,an,48
mar,as,trice,48
sam,bith,air,48
a,thoirt,do,48
an,t-seachdamh,linn,48
gu,leòr,ann,47
air,feadh,na,47
air,ais,gu,47
mu,dheidhinn,sin,47
chaidh,a,chur,47
iad,a’,dèanamh,47
an,duine,a,47
na,daoine,a,47
’s,gun,do,47
ann,tric,a,46
ann,an,eachdraidh,46
ann,an,glaschu,46
aige,ann,an,46
dè,mu,dheidhinn,46
a,bhiodh,a’,46
an,leabhar,aige,46
mi,a’,smaoineachadh,46
an,d’,fhuair,46
a,thoirt,dha,46
co-cheangailte,ris,an,46
a’,toirt,sùil,45
ach,ann,an,45
air,a,h-uile,45
a’,chùis,air,45
a’,chiad,dol,45
chiad,dol,a-mach,45
a,chanas,iad,45
ann,an,sgìre,45
ann,an,cuid,45
dè,a’,ghàidhlig,45
’s,ann,mar,45
a’,nochdadh,ann,44
an,rud,a,44
sùil,a,thoirt,44
ann,an,uibhist,44
a,chur,ri,44
anns,an,ochdamh,44
as,dèidh,sin,44
cho,luath,’s,44
fuireach,ann,am,43
ann,air,an,43
dol,a,chur,43
far,am,biodh,43
a,leithid,de,43
ann,an,ros,43
stad,a,chur,43
mar,a,chì,43
an,cuid,de,43
leis,gu,bheil,43
a’,chuid,a,43
gu,bheil,iad,43
air,an,làimh,43
urrainn,dhomh,a,42
a,chur,gu,42
an,ros,an,42
a,bhith,cinnteach,42
mi,ag,iarraidh,42
gum,bu,chòir,42
ag,ràdh,nach,42
anns,an,taigh,42
a,rèir,aithris,42
a,thathar,a’,42
chuid,a,bu,42
fhathast,ann,an,42
am,fear,beag,42
ann,an,gallaibh,42
mar,a,fhuair,41
ann,an,dùthaich,41
chaidh,a,sgrìobhadh,41
dh’fhuireach,ann,an,41
a-mach,air,an,41
aig,toiseach,an,41
bhith,a’,cur,41
aig,an,aon,41
