ainmean,182,
stad,182,
seòrsa,181,
os,181,
dhaoine,180,
clach,180,
dh’èirich,180,
nì,180,
eagal,180,
toilichte,179,
rudan,177,
uabhasach,177,
bhuineadh,176,
dhi,175,
bhathar,174,
cille,174,
naoidheamh,174,
nise,174,
uaireannan,173,
eadhon,172,
greis,172,
naomh,172,
lean,169,
innsidh,169,
ceathrad,168,
leig,168,
àiteachan,167,
beinn,167,
saighdearan,166,
allt,166,
rium,164,
eilein,164,
orm,163,
ainmeachadh,163,
mhòir,162,
taic,162,
soitheach,161,
srath,160,
luath,159,
uilleam,158,
pìos,158,
iomadh,157,
èideann,157,
grèim,157,
saoghal,156,
uachdaran,156,
ise,155,
èirinn,155,
an-ath-sheachdain,155,
bheurla,153,
sgeul,153,
doras,153,
deiseil,153,
feadh,152,
gàidhealach,152,
cionn,152,
thar,151,
teine,151,
ghabhail,151,
chaill,151,
bodach,150,
lus,150,
siar,149,
ochdad,149,
mara,149,
a-staigh,148,
gàidheal,148,
dh’ionnsaigh,148,
sgitheanach,147,
agad,147,
cù,146,
thig,146,
innte,146,
chànan,146,
aimsir,145,
ruadh,145,
grunn,143,
dh’fhàs,143,
deagh,143,
sabaid,142,
bheatha,142,
ciamar,141,
coiseachd,141,
trithead,141,
bhreatainn,139,
tormod,139,
tron,138,
annasach,138,
naidheachd,138,
dhùn,138,
seanfhacal,137,
tilleadh,137,
buileach,137,
bàta,136,
eun,136,
dhut,136,
bàrd,136,
beanntan,134,
dòchas,134,
càil,134,
ìre,133,
fearann,133,
gheibh,132,
mharbhadh,132,
tàinig,131,
lunnainn,131,
beachd,130,
fhàgail,130,
àrd,130,
goirid,129,
ithe,129,
riutha,129,
cuideigin,129,
mòra,129,
gnothach,128,
fhaicinn,128,
caisteal,128,
blàr,128,
marbh,128,
dàn,127,
ruairidh,126,
togail,126,
triùir,126,
mhuinntir,126,
tarsainn,125,
mhadainn,125,
ghille,125,
eich,125,
ath-sheachdain,125,
deich,125,
gan,125,
ceangal,124,
chlann,124,
a-null,124,
leughadh,124,
a-riamh,123,
lèir,123,
treas,123,
