sam,bith,eile,113
a’,dol,ann,113
nuair,a,ràinig,113
ann,ann,an,113
mar,phàirt,de,113
bheil,iad,a’,113
bliadhna,a,dh’aois,112
a,chanas,iad,112
seo,mar,a,111
air,ais,gu,110
ceann,a,deas,110
a,bheil,iad,110
gu,bheil,sin,110
tro,mheadhan,na,110
sinn,a’,dèanamh,109
cinnteach,gu,bheil,108
calum,macilleathain,neach-aithris,108
a,chaidh,an,107
a’,cumail,a-mach,107
coinneach,mac,a’,107
iad,air,a,106
uibhist,a,tuath,106
fuireach,anns,an,106
’s,a,h-aon,106
gu,bheil,sinn,106
sin,mar,a,105
iad,ag,iarraidh,105
a’,dol,ga,105
sinn,an,dòchas,105
sin,a’,dol,104
ag,obair,ann,104
a’,bruidhinn,mu,104
thu,a’,dol,104
mheadhan,na,gàidhlig,104
an,t-seachdain,seo,103
ann,an,dà,103
ann,an,gleann,103
a’,tighinn,a-steach,103
’s,dòcha,gum,102
nicdhòmhnaill,bbc,an,102
a,thàinig,an,101
a’,cheann,thall,101
ann,an,taigh,100
an,turas,seo,100
a,bu,mhotha,100
ceathrad,’s,a,100
gu,math,tric,100
a,thoirt,seachad,99
far,am,bi,99
dol,air,ais,99
na,b’,fheàrr,99
ann,an,sgìre,99
gum,bu,chòir,99
anns,an,sgoil,99
là,ann,an,99
an,rud,as,98
h-uile,duine,a,97
mi,an,dùil,97
ann,nuair,a,97
bhon,uair,sin,96
dè,mu,dheidhinn,96
gun,d’,fhuair,96
ag,amas,air,96
air,an,t-saoghal,95
chur,air,an,95
a,bhith,a,95
uair,sin,a’,94
gu,leòr,ann,94
mi,a’,bruidhinn,94
ann,am,breatainn,94
ochdad,’s,a,94
gus,am,bi,94
a,dol,a,94
mar,a,bhiodh,93
anns,an,aon,93
ann,an,eachdraidh,92
ann,an,èirinn,92
air,a,chèile,92
mi,a’,cur,92
aig,a’,cheann,92
a’,còrdadh,rium,92
a’,dol,dhan,92
an,seo,a,92
aig,deireadh,na,91
dol,air,adhart,91
air,a’,chladach,91
an,leabhar,a,91
iain,macilleathain,preseantair,91
ach,mar,a,90
gu,math,cudromach,90
mu,dheireadh,a,90
chaidh,a,dhèanamh,90
mi,gu,bheil,90
air,an,latha,89
cheann,a,tuath,89
a’,dèanamh,dheth,89
bruidhinn,mu,dheidhinn,89
obair,ann,an,89
a’,ghàidhlig,a,89
a’,chiad,turas,88
ann,an,sasainn,88
am,measg,na,88
anns,an,taigh,88
leis,gu,bheil,88
aonghas,dòmhnallach,neach-aithris,88
air,an,fhacal,87
fad,na,h-ùine,87
uair,a,thìde,87
againn,ann,an,86
ann,air,an,86
dhen,bheachd,gu,86
faisg,air,làimh,86
’s,gu,bheil,86
an,seo,ann,86
ann,an,siud,86
h-eileanan,an,iar,86
a’,dol,a-mach,86
taing,do,caledonia,86
do,caledonia,tv,86
shona,nicdhòmhnaill,bbc,86
mi,gu,math,85
a’,tighinn,bhon,85
dol,a,thoirt,85
ann,an,astràilia,85
a,tuath,na,85
bheir,sinn,sùil,85
a’,chuid,as,85
a,chur,ri,85
a,bhith,aig,85
nan,eilean,siar,85
ach,ann,an,84
sam,bith,air,84
sinn,air,a,84
bhith,a’,coimhead,84
bhith,gu,math,84
a,bhios,ann,84
dhen,bheachd,gur,83
nuair,a,bhiodh,83
mar,a,chaidh,83
dhèanamh,ann,an,83
gu,bheil,a’,83
mar,a,chì,83
uile,gu,lèir,83
’s,a,dhà,83
dìreach,mar,a,82
sin,gu,math,82
sin,air,a,82
air,mar,a,82
iad,a’,coimhead,82
fhada,gus,an,82
ann,an,eilean,82
b’,fhada,gus,82
trithead,’s,a,82
a’,tighinn,gu,82
eilidh,nicleòid,bbc,82
nicleòid,bbc,an,82
b’,urrainn,dha,81
air,taobh,an,81
sinn,sùil,air,81
gu,leòr,airson,81
aig,a,h-uile,81
mi,dìreach,a’,81
mar,a,bhios,80
a’,dèanamh,air,80
a,chur,gu,80
a,thogail,ann,80
iad,a’,faighinn,80
nuair,a,chunnaic,80
an,ochdamh,linn,80
a,bhith,gu,80
mu,dheidhinn,an,79
mu,dheidhinn,sin,79
gum,bi,an,79
a,h-uile,bliadhna,79
a,thuirt,mi,79
nuair,a,thòisich,79
a’,smaointinn,gu,79
sinn,a’,faicinn,79
air,an,sin,79
air,falbh,bhon,78
an,àm,seo,78
air,sgàth,’s,78
air,an,talamh,78
an,sin,a,78
ann,an,saoghal,78
a,dhèanamh,ann,78
a,bhuineadh,do,78
ag,ràdh,gur,78
an,eilein,sgitheanaich,78
bhith,air,a,78
a,chionn,’s,78
a’,smaoineachadh,gum,78
uair,sin,a,78
ag,ràdh,gum,78
aon,rud,a,78
sin,an,rud,78
a,h-uile,latha,78
a,h-uile,sìon,78
dòmhnall,maclaomainn,neach-aithris,78
dòcha,gum,bi,77
as,motha,a,77
nuair,a,thill,77
anns,an,ath,77
gun,do,rinn,77
chaidh,a,chur,77
a-mach,às,a’,77
gu,tuath,air,76
chuid,as,motha,76
chun,an,latha,76
bhith,a’,toirt,76
a’,tighinn,air,76
ag,ràdh,nach,76
sam,bith,ann,76
sinn,a’,cur,76
na,h-eileanan,an,76
mi,a’,faireachdainn,76
gu,bheil,am,75
an,t-seann,aimsir,75
gu,bheil,thu,75
air,ais,don,75
sin,anns,an,75
a,thoirt,dha,75
iad,a’,tighinn,75
mar,a,thachair,75
ann,an,srath,75
bliadhna,air,ais,75
an,latha,a,74
a,bhiodh,a’,74
gu,leòr,air,74
airson,sin,a,74
an,sgìre,sin,74
mi,a’,ciallachadh,74
an,d’,fhuair,74
thairis,air,na,74
thuirt,am,fear,74
’s,ann,a,74
a’,chiad,uair,74
angela,nicilleathain,preseantair,74
’s,dòcha,gur,73
a’,coimhead,airson,73
mar,sin,air,73
eile,ann,an,73
gu,leòr,a,73
crìoch,a,chur,73
anns,an,eaglais,73
a,deas,na,73
gu,bhith,ann,73
anns,an,fharsaingeachd,73
bhith,a’,fuireach,73
iad,an,dòchas,73
a’,toirt,sùil,72
air,an,cur,72
an,sàs,anns,72
an,àite,a,72
mu,dheidhinn,nan,72
a’,tighinn,bho,72
a,bu,choireach,72
seasgad,’s,a,72
iad,a’,cur,72
prògram,seo,fuine,72
seo,fuine,a,72
fuine,a,chraoladh,72
is,mar,sin,71
urrainn,dhomh,a,71
bheil,thu,a’,71
o,chionn,fhada,71
anns,na,bliadhnaichean,71
mi,a’,fuireach,71
iad,gu,math,71
an,là,an-diugh,71
mu,dheidhinn,na,71
