diofar,463,
deich,463,
iar,462,
leughadh,462,
chòir,461,
bheir,458,
clann,455,
thall,455,
againne,455,
fo,454,
sgrìobhadh,453,
èideann,451,
dàrna,450,
macilleathain,447,
deagh,446,
orm,444,
ma-thà,444,
a-mhàin,442,
thig,442,
dithis,441,
dùthaich,441,
làidir,440,
sgioba,439,
chuala,437,
làimh,436,
siar,435,
leabhraichean,435,
làn,434,
ionnsachadh,432,
athair,431,
ghàidhealtachd,428,
you,428,
sàs,427,
seach,423,
ar,420,
riamh,420,
motha,420,
smaointinn,416,
ciamar,413,
bliadhnaichean,410,
cùisean,407,
car,406,
sgeulachd,405,
tachairt,403,
fhad,401,
eadar-dhealaichte,399,
biadh,396,
oilthigh,396,
roimhe,396,
tòiseachadh,395,
droch,393,
aonghas,392,
not,391,
reic,391,
gheibh,388,
coinneach,387,
a’m,386,
thog,386,
pìos,384,
was,383,
dubh,381,
bheatha,381,
nighean,380,
chleachdadh,378,
maccoinnich,377,
chanadh,376,
uaireannan,375,
eisimpleir,369,
mòra,369,
glaschu,366,
beatha,365,
thill,364,
cuimhne,362,
talamh,362,
sgitheanach,362,
atharrachadh,362,
can,361,
a-riamh,360,
it’s,360,
fhada,358,
chanas,358,
fhàgail,357,
buileach,356,
gille,355,
have,355,
ùidh,353,
nochd,353,
òran,348,
tìr,348,
brèagha,347,
dh’fhaighnich,346,
tèid,345,
eilein,343,
rugadh,343,
dh’fhàg,342,
bhean,342,
inntinneach,341,
creidsinn,341,
fhear,340,
gàidheil,338,
chùis,337,
nochdadh,333,
litir,333,
furasta,332,
comhairle,331,
beachd,328,
phàirt,328,
ràinig,327,
faclan,326,
dh’fhaodadh,324,
they,324,
faireachdainn,323,
ghabhail,322,
dhe,322,
choimhearsnachd,321,
cànan,320,
ithe,320,
stad,320,
sluagh,319,
be,319,
leòdhas,319,
pàirt,318,
andreas,314,
stòiridh,313,
teaghlach,313,
àrd,312,
sinne,310,
fhichead,310,
rothach,309,
meadhan,308,
am-bliadhna,308,
sgàth,307,
dh’iarr,306,
doirbh,306,
cuairt,306,
ruairidh,305,
ort,305,
chlann,302,
ruige,302,
grunn,301,
cuideigin,299,
fhreagair,296,
còrdadh,296,
wolff,296,
cus,294,
luath,293,
buaidh,293,
ceangal,292,
ise,291,
this,290,
àiteachan,289,
mura,289,
cluich,288,
fhacal,287,
co-cheangailte,287,
faigh,284,
lèir,283,
seumas,283,
iongantach,282,
riutha,282,
coimhearsnachd,282,
os,282,
thar,281,
ailean,281,
are,281,
ùra,280,
slighe,279,
làithean,278,
bhi,277,
tig,277,
ghoirid,277,
suidheachadh,277,
cheart,276,
dùthcha,275,
seonaidh,275,
greis,274,
aimsir,274,
uaireigin,274,
eagal,273,
bàs,273,
gluasad,273,
boireannach,272,
nàiseanta,271,
gleann,271,
a-nochd,271,
dèan,271,
riaghaltas,271,
canaidh,269,
iomadach,267,
bòrd,264,
leig,263,
hearadh,262,
steòrnabhagh,262,
tilleadh,261,
albannach,260,
ainmean,260,
aidh,260,
dhùn,259,
chaill,259,
beaga,259,
sgoilearan,258,
coiseachd,256,
siorrachd,256,
gàidheal,256,
with,255,
chaochail,253,
tàinig,251,
mhàthair,251,
feasgar,250,
leantainn,250,
iadsan,250,
innte,250,
fionn,250,
saoghail,249,
sealltainn,249,
dad,249,
naidheachd,248,
luchd-turais,248,
mhadainn,247,
fàilte,246,
gàidhealach,246,
rannsachadh,245,
fàgail,245,
caran,245,
seinn,244,
faodaidh,244,
dhi,243,
dealbh,243,
a-null,242,
beul-aithris,242,
spòrs,242,
lean,241,
leotha,241,
people,241,
ceàrr,241,
at,240,
sgìrean,239,
beinn,237,
fhaide,236,
abhainn,236,
dachaigh,235,
buidheann,234,
mara,234,
niall,234,
taing,233,
chanainn,233,
uilleam,233,
fiù,233,
thighinn,233,
agamsa,232,
leasachadh,232,
each,231,
cionn,231,
chòrd,230,
annta,230,
togalach,230,
taisbeanadh,229,
cuideachadh,229,
srath,228,
ceist,227,
ars,227,
doras,227,
chànan,227,
comharrachadh,226,
crìoch,226,
cuiridh,226,
just,226,
rann,225,
àireamh,225,
tormod,224,
mheadhan,223,
bhliadhnaichean,223,
bhreatainn,223,
stuth,223,
dragh,222,
cille,220,
duilich,220,
roinn,219,
bàta,218,
airgid,218,
gam,217,
annasach,217,
port,217,
lunnainn,217,
àirde,216,
aois,216,
stèidhichte,215,
chomhairle,215,
seadh,215,
dhìth,215,
grèim,214,
mhòir,214,
ghlaschu,214,
drochaid,213,
dhòmhsa,213,
ionad,213,
saighdearan,212,
cuir,212,
mìosan,212,
òrain,211,
chuairt,211,
bhathar,210,
an-uiridh,210,
all,209,
fhìrinn,208,
leigeil,208,
trice,207,
samhradh,207,
caoraich,207,
