gu,bheil,3414,
gu,math,2275,
mar,sin,1725,
uair,sin,1491,
mu,dheidhinn,1333,
sam,bith,1302,
gu,leòr,1249,
’s,dòcha,1057,
faisg,air,1041,
air,ais,1008,
gum,bi,948,
gum,biodh,851,
’s,ann,780,
chur,air,750,
iad,air,728,
gun,do,702,
às,dèidh,679,
mu,dheireadh,678,
mi,air,651,
air,falbh,646,
o,chionn,608,
gu,bhith,602,
air,adhart,589,
air,feadh,580,
h-uile,duine,573,
fhios,agad,568,
toiseach,ann,567,
inbhir,nis,551,
prògram,seo,534,
of,the,532,
eòlach,air,481,
bhith,ann,446,
sin,air,443,
eilidh,nicleòid,437,
gu,h-àraidh,425,
ann,ach,424,
bu,chòir,423,
fuireach,ann,422,
dhen,bheachd,416,
shona,nicdhòmhnaill,404,
cuid,de,402,
h-uile,càil,401,
‘s,dòcha,386,
dòmhnall,moireasdan,386,
bharrachd,air,379,
coimhead,air,376,
ann,air,373,
ann,airson,370,
gu,dearbh,370,
d’,fhuair,368,
b’,urrainn,368,
ri,chèile,364,
bheil,iad,364,
gu,mòr,363,
sin,ach,362,
còrr,is,349,
dèidh,sin,346,
‘s,ann,342,
dol,air,340,
cho,math,336,
aon,rud,335,
sin,gu,334,
còmhla,ri,330,
innse,dhuibh,326,
no,dhà,319,
mi,cinnteach,319,
mi,gu,310,
feuchainn,ri,310,
sinn,air,308,
smaoineachadh,gu,306,
a-mach,às,301,
bhith,air,301,
thoirt,air,299,
gu,ruige,299,
b’,fheàrr,297,
sin,ann,296,
aig,deireadh,295,
air,leth,294,
andreas,wolff,294,
air,sgàth,293,
as,fheàrr,291,
thairis,air,290,
mar,eisimpleir,290,
ach,’s,288,
dùn,èideann,287,
mi,ann,286,
rud,beag,285,
fhad,’s,284,
in,the,283,
gu,lèir,282,
air,taobh,281,
bidh,mi,277,
sùil,air,276,
bhiodh,iad,276,
gur,ann,275,
air,fad,275,
dhèanamh,air,273,
nan,eilean,272,
air,dòigh,270,
sin,’s,269,
eilean,sgitheanach,269,
mar,seo,269,
nicdhòmhnaill,neach-aithris,269,
as,motha,264,
seo,air,264,
bheil,thu,262,
glè,mhath,261,
ged,nach,260,
bho,chionn,258,
rudan,mar,258,
eile,ann,254,
fear,eile,254,
air,sin,253,
fhuair,mi,252,
fear,de,252,
fhios,a’m,249,
chì,sinn,249,
seonaidh,maccoinnich,249,
nas,fheàrr,247,
coltach,ri,246,
air,mo,246,
as,dèidh,244,
mar,as,242,
le,bhith,242,
t-seachdain,sa,241,
àm,sin,240,
bidh,sinn,239,
màiri,anna,236,
mar,phàirt,235,
eile,air,234,
chionn,ghoirid,233,
calum,macilleathain,233,
bidh,iad,231,
mar,gum,230,
nach,bi,229,
nam,biodh,228,
gu,leth,226,
a-mach,air,225,
dà,cheud,225,
seo,ann,224,
seo,aig,223,
do,rinn,223,
smaoineachadh,gun,222,
sa,chaidh,222,
ann,mar,221,
airson,sin,220,
iad,gu,220,
obair,air,219,
latha,an-diugh,218,
do,dhaoine,216,
smaoineachadh,gur,215,
nach,do,214,
iad,sin,214,
gun,deach,214,
iad,ann,213,
mi,fhìn,212,
urrainn,dhomh,209,
mi,airson,208,
’s,gun,208,
dòcha,gun,207,
sàs,ann,207,
mi,smaoineachadh,207,
dòcha,nach,206,
ràdh,gun,205,
os,cionn,204,
uill,’s,203,
deiseil,airson,203,
mi,dhuibh,202,
dòchas,gun,201,
feumaidh,mi,201,
nan,gàidheal,201,
ga,dhèanamh,200,
aon,àm,198,
chaidh,mi,197,
rinn,mi,197,
mi,dìreach,196,
aonghas,dòmhnallach,196,
chuir,iad,195,
rinn,iad,195,
a-mach,à,195,
bheil,mi,194,
air,bòrd,194,
dòcha,gu,193,
ri,taobh,191,
mun,cuairt,189,
dè,cho,188,
fhuair,iad,188,
bheil,sibh,185,
dhuibh,mu,185,
nicleòid,neach-aithris,185,
seo,mar,183,
dol,a-mach,182,
sibh,eòlach,181,
ann,aig,181,
chuala,mi,180,
do,chuir,180,
timcheall,air,180,
sin,mar,179,
sin,chaidh,178,
bheil,sinn,178,
innse,dhuinn,177,
aig,àm,177,
dòchas,gum,177,
air,choreigin,176,
mus,do,176,
taobh,a-muigh,176,
fuireach,anns,176,
ràdh,gu,175,
ann,cuideachd,175,
seo,ach,175,
gum,b’,174,
nach,biodh,174,
naoidheamh,linn,173,
innsidh,mi,173,
fios,aig,173,
aca,air,171,
ga,chur,170,
air,fhàgail,169,
measg,nan,168,
bheachd,gun,168,
ann,gu,168,
chuir,mi,167,
math,air,166,
ann,’s,166,
ach,‘s,165,
ach,gu,163,
chaidh,iad,163,
duine,sam,163,
chreid,mi,162,
thuirt,mi,160,
air,mar,160,
ann,ann,160,
nam,measg,160,
seachad,air,160,
a-steach,don,159,
ach,nuair,159,
ach,dè,159,
còmhla,ris,159,
co-cheangailte,ri,158,
air,daoine,157,
bu,mhath,157,
seo,gu,157,
seo,a-nis,157,
dhùn,èideann,156,
air,tìr,156,
gu,ìre,156,
taing,do,156,
dè,seòrsa,155,
mhath,leam,153,
nas,motha,153,
iad,airson,153,
air,tighinn,152,
bu,mhotha,152,
wolff,neach-aithris,152,
sin,nuair,151,
gun,tèid,151,
sinn,gu,150,
ann,gun,149,
fhèin,air,148,
mi,sin,147,
agam,air,147,
gu,tric,147,
ann,mu,147,
iad,fhèin,147,
gu,sònraichte,147,
feumaidh,sinn,147,
mo,mhàthair,147,
bheil,sin,146,
gu,feum,146,
as,trice,146,
taobh,siar,146,
dòmhnall,maclaomainn,146,
bliadhna,air,145,
aige,air,145,
sin,anns,144,
fhios,agam,144,
cho,fada,143,
leis,gu,143,
dà,bhliadhna,142,
rèir,choltais,142,
b’,ann,142,
tighinn,a-steach,142,
bidh,sibh,141,
dà,chuid,141,
thug,iad,141,
dhol,air,141,
ceart,gu,141,
aig,toiseach,140,
bheir,mi,140,
dìreach,mar,140,
dol,gu,140,
nas,fhaide,140,
’s,gu,140,
thu,fhèin,139,
de,dhaoine,139,
dìreach,air,139,
air,cùl,138,
cinnteach,gu,137,
chunnaic,mi,137,
ruaraidh,rothach,137,
airson,’s,136,
ri,dhèanamh,136,
feumaidh,tu,136,
le,taing,136,
dòcha,gum,135,
fiù,’s,135,
ìre,mhath,134,
mòran,de,134,
cheart,cho,134,
obair,ann,134,
bruidhinn,mu,134,
gu,dearbha,134,
obar,dheathain,133,
faighinn,a-mach,133,
math,gu,133,
chur,ann,133,
aig,daoine,132,
dà,mhìle,132,
gu,tuath,132,
taobh,a-staigh,132,
duine,air,132,
and,the,132,
bhith,ga,132,
cur,air,132,
mòr,ann,131,
roinn,eòrpa,130,
aithris,seo,130,
moireasdan,neach-aithris,130,
chì,sibh,129,
dèanamh,cinnteach,129,
ri,linn,129,
fhèin,is,129,
rèir,beul-aithris,129,
chì,thu,129,
to,the,129,
seo,’s,128,
fios,agaibh,128,
mar,ainm,128,
saoilidh,mi,128,
gus,nach,128,
dol,ga,127,
a-mach,gu,127,
cho,mòr,127,
dhà,no,127,
là,ann,127,
kerr,gibb,127,
nan,daoine,126,
daoine,air,126,
phàirt,de,126,
air,gach,126,
tighinn,air,126,
dol,ann,125,
nas,fhasa,125,
sin,airson,125,
thoirt,do,125,
coinneach,mac,125,
ach,mar,124,
le,sin,124,
iain,macilleathain,124,
dòcha,gur,123,
b’,esan,123,
fhaighinn,air,122,
iad,uile,122,
tro,mheadhan,122,
preseantair,nise,122,
macilleathain,neach-aithris,122,
cho,luath,121,
mhòr,air,120,
measail,air,120,
ann,à,120,
b’,fheudar,120,
ri,fhaicinn,120,
gach,bliadhna,119,
m’,athair,119,
dol,dhan,119,
you,know,119,
’s,gum,118,
ri,sin,118,
smaointinn,gu,118,
toigh,leam,117,
leugh,mi,117,
chanas,iad,117,
gum,faigh,117,
còrr,air,117,
h-uile,rud,116,
ceud,bliadhna,116,
gun,tig,116,
rud,sam,116,
feadhainn,eile,115,
calum,cille,115,
sinn,sùil,115,
thoirt,seachad,115,
mòr,air,114,
cheann,thall,114,
uabhasach,math,114,
maccoinnich,neach-aithris,114,
bith,eile,113,
ach,air,113,
thu,air,113,
’s,nach,113,
to,be,113,
thòisich,mi,113,
bi,iad,113,
macleòid,neach-aithris,113,
aca,fhèin,112,
gun,d’,112,
gu,mì-fhortanach,112,
fhuair,sinn,112,
tighinn,gu,112,
mi,a-mach,111,
sibh,air,111,
gum,bu,111,
it,was,111,
ri,daoine,111,
for,the,111,
sin,aig,110,
ais,gu,110,
bheachd,gu,110,
smaoineachadh,gum,110,
neach-aithris,‘s,110,
ach,ann,109,
cumail,a-mach,109,
bruidhinn,air,109,
uile,gu,109,
urrainn,dhuinn,109,
sa,mhadainn,108,
ann,an-diugh,108,
uabhasach,fhèin,108,
’s,iomadh,108,
rud,as,108,
sin,math,107,
on,the,107,
uiread,de,107,
bheir,sinn,107,
co-cheangailte,ris,107,
gheibh,thu,107,
iain,macaonghais,107,
dèanamh,air,106,
ach,aig,106,
ach,bidh,106,
tuigidh,sibh,106,
fhada,gus,106,
sin,bidh,106,
t-seachdain,seo,105,
còrdadh,rium,105,
cuiridh,mi,105,
mi,fhèin,105,
suas,ri,104,
seo,agaibh,104,
againn,air,104,
air,dà,104,
smaoineachadh,air,103,
ann,nuair,103,
air,fhichead,103,
chanadh,iad,103,
at,the,103,
fear,dhiubh,103,
iarraidh,air,103,
ann,bho,103,
urrainn,dhut,103,
aig,ceann,102,
stèidhichte,air,102,
tuath,air,102,
beag,air,102,
as,t-samhradh,102,
dè,mu,102,
turas,seo,102,
sin,cuideachd,102,
ann,le,102,
air,làimh,102,
sin,‘s,102,
nicdhòmhnaill,bbc,102,
urrainn,dha,101,
ann,anns,101,
urrainn,dhaibh,101,
dè,thachair,101,
air,do,101,
taobh,eile,101,
chùil,lodair,101,
ochdamh,linn,101,
airson,nan,101,
sin,agad,101,
baile,beag,100,
gun,tàinig,100,
cuimhne,agam,100,
nan,seumasach,100,
ann,eadar,100,
“tha,mi,100,
ceathrad,’s,100,
math,tric,100,
seo,airson,100,
gun,teagamh,100,
fhathast,ann,100,
’s,iad,100,
‘s,iad,100,
tadhal,air,99,
sgìre,sin,99,
as,coireach,99,
feumach,air,99,
ràdh,gur,99,
bhith,gu,99,
againn,ann,98,
bhon,uair,98,
às,aonais,98,
dèanamh,dheth,98,
bhith,aig,98,
sinn,ann,98,
aig,amannan,98,
duine,eile,98,
cuideachd,air,98,
tòrr,nas,98,
dòmhnallach,neach-aithris,98,
dùil,gun,97,
airson,greis,97,
chuid,as,97,
gàidhlig,ann,97,
agam,ann,97,
fhèin,ach,96,
sin,fìor,96,
gàidhlig,air,96,
aige,ann,96,
bheachd,gur,96,
ràdh,nach,96,
amas,air,96,
chiad,uair,96,
rothach,neach-aithris,96,
tighinn,bhon,95,
ùr,air,95,
chur,gu,95,
dhèanamh,ach,95,
leòr,ann,94,
ach,chaidh,94,
bith,ann,94,
ochdad,’s,94,
bliadhna,ann,94,
bhios,ann,94,
dh’,fhaodadh,94,
ailean,macleòid,94,
daoine,eile,93,
is,mar,93,
iad,cho,93,
sgeul,air,93,
an-diugh,ach,93,
mi,ga,93,
coltach,gu,93,
chiad,turas,92,
math,cudromach,92,
biodh,iad,92,
dhèanamh,ann,92,
thogail,ann,92,
gu,dè,92,
macilleathain,preseantair,92,
bruidhinn,ri,91,
gu,ceann,91,
b’,fhada,91,
mi,gun,91,
air,mullach,91,
coltach,gun,91,
chur,ri,91,
de,dh’,91,
nach,b’,90,
b’,àbhaist,90,
air,ach,90,
ann,gum,90,
chionn,’s,90,
car,coltach,89,
ann,às,89,
is,mise,89,
o,shean,89,
taobh,sear,89,
