a-riamh,118,
seachd,118,
people,118,
cuairt,117,
ùra,117,
agaibh,116,
ainm,115,
iar,114,
linn,114,
esan,114,
ghàidhealtachd,114,
dh’fhaodadh,113,
dhachaigh,113,
iomadach,113,
calum,113,
làidir,113,
dùn,113,
aghaidh,112,
thairis,112,
dàrna,112,
cluich,111,
carson,111,
just,111,
furasta,110,
tè,110,
teaghlach,110,
buileach,109,
aice,109,
tric,109,
pìos,108,
cheann,108,
fhàgail,108,
ath,108,
beò,107,
sgitheanach,107,
riamh,107,
màiri,107,
cuideachadh,107,
sgoilearan,107,
steòrnabhagh,106,
lorg,106,
faigh,106,
leasachadh,106,
luchd-turais,106,
with,106,
at,105,
hearadh,105,
dearbh,105,
biadh,104,
thall,104,
ar,104,
eilidh,104,
làn,103,
tig,103,
leam,103,
agamsa,103,
fhichead,103,
sgàth,103,
fiù,102,
leòdhas,102,
thachair,102,
clann,102,
uaireannan,100,
dùthcha,100,
dèan,100,
dùthaich,100,
really,100,
sgeulachd,100,
shona,100,
car,99,
taing,99,
ort,99,
ionad,99,
taisbeanadh,99,
beachd,99,
fàilte,97,
bhi,97,
macleòid,97,
mheadhan,96,
ithe,95,
all,95,
cheart,94,
sùil,94,
sealltainn,94,
but,93,
thighinn,92,
cus,91,
dhòmhsa,91,
àmhainn,90,
nicleòid,90,
spòrs,90,
buaidh,89,
there,89,
eilein,89,
àireamh,89,
athair,88,
làithean,88,
thathar,88,
think,88,
ainmeil,87,
ghlaschu,87,
fàgail,87,
feasgar,87,
duilich,87,
suidheachadh,87,
sgìrean,87,
saoghail,86,
seirbheis,86,
àrd,86,
chlann,86,
dha-rìribh,86,
beaga,86,
togalach,86,
dachaigh,86,
nàiseanta,86,
trang,85,
ghabhail,85,
iadsan,85,
dhuibh,84,
very,84,
talamh,84,
gluasad,84,
ceangal,84,
urras,84,
here,83,
cuideigin,83,
naoi,83,
know,83,
slighe,83,
rannsachadh,83,
chomhairle,83,
pròiseact,82,
ceàrr,81,
mhàthair,81,
làimh,81,
fhad,81,
lot,81,
seach,81,
dòmhnallach,81,
th’ann,81,
up,81,
chuala,80,
chuairt,80,
faodaidh,80,
about,80,
an-uiridh,80,
grunn,79,
bheachd,79,
lèir,79,
ceòl,78,
a-màireach,78,
an-còmhnaidh,78,
ron,78,
th,78,
sna,78,
gam,78,
lùib,78,
riaghaltas,78,
stuth,78,
from,77,
dealbh,77,
fhada,77,
dhìth,77,
